nNode nIter matrixVectorProduct solve ILU(0) assemble sort_COO COO->CSR renumber PCG remesh torque full
400 50 4.306400e-02 4.572600e-02 2.868000e-03 2.038200e-02 5.234900e-02 1.435000e-03 1.951000e-03 1.688950e-01 9.880000e-04 8.000000e-04 1.934210e-01
838 50 1.076050e-01 1.156160e-01 5.153000e-03 4.231800e-02 1.130990e-01 2.053000e-03 4.251000e-03 3.964290e-01 1.990000e-03 1.455000e-03 4.481120e-01
1667 50 2.257640e-01 2.532670e-01 9.803000e-03 8.399300e-02 2.351870e-01 3.911000e-03 9.238000e-03 8.334780e-01 3.597000e-03 2.595000e-03 9.364800e-01
4424 50 7.400590e-01 8.489990e-01 2.535400e-02 1.866070e-01 7.012180e-01 1.049000e-02 2.325700e-02 2.660903e+00 7.888000e-03 5.553000e-03 2.886256e+00
14608 50 3.980531e+00 4.563476e+00 8.466300e-02 6.588020e-01 2.623961e+00 4.448800e-02 8.594700e-02 1.303848e+01 1.746100e-02 1.274000e-02 1.381829e+01
14608 50 3.826346e+00 4.361255e+00 8.377000e-02 6.402580e-01 2.584026e+00 4.183700e-02 8.559000e-02 1.257609e+01 1.706900e-02 1.250600e-02 1.333611e+01
4424 50 7.354430e-01 8.415730e-01 2.536400e-02 1.854480e-01 6.992460e-01 1.080100e-02 2.276400e-02 2.643995e+00 7.543000e-03 5.408000e-03 2.867137e+00
1667 50 2.277530e-01 2.557870e-01 1.010700e-02 8.535400e-02 2.370370e-01 4.128000e-03 9.297000e-03 8.416030e-01 3.705000e-03 2.569000e-03 9.463480e-01
838 50 1.065280e-01 1.144130e-01 5.162000e-03 4.216800e-02 1.124040e-01 1.977000e-03 5.276000e-03 3.925400e-01 2.000000e-03 1.371000e-03 4.450440e-01
400 50 4.218800e-02 4.344900e-02 2.890000e-03 1.997600e-02 5.115800e-02 1.407000e-03 1.776000e-03 1.641660e-01 9.480000e-04 7.830000e-04 1.881200e-01
4424 50 9.013820e-01 1.040283e+00 2.930400e-02 2.188750e-01 8.177140e-01 1.421900e-02 2.482200e-02 3.195929e+00 8.643000e-03 6.017000e-03 3.456949e+00
4424 50 7.484550e-01 8.577280e-01 2.587800e-02 1.895340e-01 7.089080e-01 1.076600e-02 2.383000e-02 2.690246e+00 7.702000e-03 5.555000e-03 2.918865e+00
1667 50 2.293700e-01 2.559490e-01 1.013000e-02 8.602500e-02 2.400280e-01 4.155000e-03 8.429000e-03 8.479410e-01 3.638000e-03 2.628000e-03 9.522650e-01
4424 50 8.798630e-01 1.016816e+00 2.824800e-02 2.114220e-01 8.097180e-01 1.365400e-02 2.541400e-02 3.134155e+00 8.549000e-03 5.999000e-03 3.388663e+00
1667 50 2.576600e-01 2.897540e-01 1.141100e-02 1.004660e-01 2.659450e-01 4.829000e-03 8.947000e-03 9.505650e-01 4.355000e-03 3.066000e-03 1.073945e+00
