nNode nIter matrixVectorProduct solve ILU assemble sort renumber PCG remesh torque full
400 50 4.160000e-02 4.394400e-02 2.938000e-03 2.058300e-02 5.236600e-02 1.875000e-03 1.714650e-01 1.052000e-03 8.420000e-04 1.920470e-01
838 50 1.074220e-01 1.161580e-01 5.596000e-03 4.205900e-02 1.145750e-01 5.349000e-03 4.119850e-01 2.059000e-03 1.417000e-03 4.538770e-01
1667 50 2.277630e-01 2.557310e-01 1.008000e-02 8.596700e-02 2.387570e-01 8.346000e-03 8.708510e-01 3.881000e-03 2.760000e-03 9.543130e-01
4424 50 7.360890e-01 8.426550e-01 2.565300e-02 1.870670e-01 7.106800e-01 2.359900e-02 2.736682e+00 7.959000e-03 5.536000e-03 2.899188e+00
14608 50 3.827740e+00 4.362021e+00 8.497000e-02 6.463360e-01 2.635356e+00 8.366000e-02 1.297811e+01 1.775700e-02 1.266700e-02 1.345459e+01
14608 50 3.854905e+00 4.428871e+00 8.542000e-02 6.362200e-01 2.583196e+00 8.355900e-02 1.302851e+01 1.775400e-02 1.272300e-02 1.349617e+01
4424 50 8.028050e-01 9.290500e-01 2.734000e-02 1.947260e-01 7.531050e-01 2.412800e-02 2.960336e+00 8.281000e-03 5.863000e-03 3.132238e+00
1667 50 2.446660e-01 2.778760e-01 1.087100e-02 9.092300e-02 2.602900e-01 8.795000e-03 9.392750e-01 4.126000e-03 2.898000e-03 1.029606e+00
838 50 1.060070e-01 1.145590e-01 5.269000e-03 4.231800e-02 1.119140e-01 5.216000e-03 4.053310e-01 2.015000e-03 1.408000e-03 4.471800e-01
400 50 4.212600e-02 4.482900e-02 2.825000e-03 2.062300e-02 5.182200e-02 1.840000e-03 1.720020e-01 1.059000e-03 8.180000e-04 1.923800e-01
